year,quarter,scope,segment,company_count
2019,1,index,Global,1855
2019,1,index,SP500,500
2019,1,index,FTSE100,100
2019,1,index,ASX200,200
2019,1,index,CAC40,40
2019,1,index,DAX40,40
2019,1,index,EuroNext100,100
2019,1,index,FTSE250,250
2019,1,index,HANGSENG,75
2019,1,index,Nikkei225,225
2019,1,index,NSENifty50,50
2019,1,index,SPTSX Composite,226
2019,1,index,STI,29
2019,1,index,SMI,20
2019,2,index,Global,1855
2019,2,index,SP500,500
2019,2,index,FTSE100,100
2019,2,index,ASX200,200
2019,2,index,CAC40,40
2019,2,index,DAX40,40
2019,2,index,EuroNext100,100
2019,2,index,FTSE250,250
2019,2,index,HANGSENG,75
2019,2,index,Nikkei225,225
2019,2,index,NSENifty50,50
2019,2,index,SPTSX Composite,226
2019,2,index,STI,29
2019,2,index,SMI,20
2019,3,index,Global,1855
2019,3,index,SP500,500
2019,3,index,FTSE100,100
2019,3,index,ASX200,200
2019,3,index,CAC40,40
2019,3,index,DAX40,40
2019,3,index,EuroNext100,100
2019,3,index,FTSE250,250
2019,3,index,HANGSENG,75
2019,3,index,Nikkei225,225
2019,3,index,NSENifty50,50
2019,3,index,SPTSX Composite,226
2019,3,index,STI,29
2019,3,index,SMI,20
2019,4,index,Global,1855
2019,4,index,SP500,500
2019,4,index,FTSE100,100
2019,4,index,ASX200,200
2019,4,index,CAC40,40
2019,4,index,DAX40,40
2019,4,index,EuroNext100,100
2019,4,index,FTSE250,250
2019,4,index,HANGSENG,75
2019,4,index,Nikkei225,225
2019,4,index,NSENifty50,50
2019,4,index,SPTSX Composite,226
2019,4,index,STI,29
2019,4,index,SMI,20
2020,1,index,Global,1855
2020,1,index,SP500,500
2020,1,index,FTSE100,100
2020,1,index,ASX200,200
2020,1,index,CAC40,40
2020,1,index,DAX40,40
2020,1,index,EuroNext100,100
2020,1,index,FTSE250,250
2020,1,index,HANGSENG,75
2020,1,index,Nikkei225,225
2020,1,index,NSENifty50,50
2020,1,index,SPTSX Composite,226
2020,1,index,STI,29
2020,1,index,SMI,20
2020,2,index,Global,1855
2020,2,index,SP500,500
2020,2,index,FTSE100,100
2020,2,index,ASX200,200
2020,2,index,CAC40,40
2020,2,index,DAX40,40
2020,2,index,EuroNext100,100
2020,2,index,FTSE250,250
2020,2,index,HANGSENG,75
2020,2,index,Nikkei225,225
2020,2,index,NSENifty50,50
2020,2,index,SPTSX Composite,226
2020,2,index,STI,29
2020,2,index,SMI,20
2020,3,index,Global,1855
2020,3,index,SP500,500
2020,3,index,FTSE100,100
2020,3,index,ASX200,200
2020,3,index,CAC40,40
2020,3,index,DAX40,40
2020,3,index,EuroNext100,100
2020,3,index,FTSE250,250
2020,3,index,HANGSENG,75
2020,3,index,Nikkei225,225
2020,3,index,NSENifty50,50
2020,3,index,SPTSX Composite,226
2020,3,index,STI,29
2020,3,index,SMI,20
2020,4,index,Global,1855
2020,4,index,SP500,500
2020,4,index,FTSE100,100
2020,4,index,ASX200,200
2020,4,index,CAC40,40
2020,4,index,DAX40,40
2020,4,index,EuroNext100,100
2020,4,index,FTSE250,250
2020,4,index,HANGSENG,75
2020,4,index,Nikkei225,225
2020,4,index,NSENifty50,50
2020,4,index,SPTSX Composite,226
2020,4,index,STI,29
2020,4,index,SMI,20
2021,1,index,Global,1855
2021,1,index,SP500,500
2021,1,index,FTSE100,100
2021,1,index,ASX200,200
2021,1,index,CAC40,40
2021,1,index,DAX40,40
2021,1,index,EuroNext100,100
2021,1,index,FTSE250,250
2021,1,index,HANGSENG,75
2021,1,index,Nikkei225,225
2021,1,index,NSENifty50,50
2021,1,index,SPTSX Composite,226
2021,1,index,STI,29
2021,1,index,SMI,20
2021,2,index,Global,1855
2021,2,index,SP500,500
2021,2,index,FTSE100,100
2021,2,index,ASX200,200
2021,2,index,CAC40,40
2021,2,index,DAX40,40
2021,2,index,EuroNext100,100
2021,2,index,FTSE250,250
2021,2,index,HANGSENG,75
2021,2,index,Nikkei225,225
2021,2,index,NSENifty50,50
2021,2,index,SPTSX Composite,226
2021,2,index,STI,29
2021,2,index,SMI,20
2021,3,index,Global,1855
2021,3,index,SP500,500
2021,3,index,FTSE100,100
2021,3,index,ASX200,200
2021,3,index,CAC40,40
2021,3,index,DAX40,40
2021,3,index,EuroNext100,100
2021,3,index,FTSE250,250
2021,3,index,HANGSENG,75
2021,3,index,Nikkei225,225
2021,3,index,NSENifty50,50
2021,3,index,SPTSX Composite,226
2021,3,index,STI,29
2021,3,index,SMI,20
2021,4,index,Global,1855
2021,4,index,SP500,500
2021,4,index,FTSE100,100
2021,4,index,ASX200,200
2021,4,index,CAC40,40
2021,4,index,DAX40,40
2021,4,index,EuroNext100,100
2021,4,index,FTSE250,250
2021,4,index,HANGSENG,75
2021,4,index,Nikkei225,225
