year,quarter,segment,incoming_count,incoming_pct,outgoing_count,outgoing_pct,avg_outgoing_tenure_years,company_count
2019,1,Global,53,2.9,41,2.2,7.7,1855
2019,1,SP500,24,4.8,13,2.6,8.9,500
2019,1,FTSE100,,,,,,100
2019,1,ASX200,,,,,,200
2019,1,CAC40,,,,,,40
2019,1,DAX40,,,,,,40
2019,1,EuroNext100,,,,,,100
2019,1,FTSE250,,,,,,250
2019,1,HANGSENG,,,1,1.3,0.2,75
2019,1,Nikkei225,2,0.9,,,,225
2019,1,NSENifty50,,,,,,50
2019,1,SPTSX Composite,6,2.7,3,1.3,8.6,226
2019,1,STI,1,3.4,1,3.4,31.7,29
2019,1,SMI,,,,,,20
2019,2,Global,81,4.0,63,3.4,7.2,1855
2019,2,SP500,19,3.8,13,2.6,10.1,500
2019,2,FTSE100,,,,,,100
2019,2,ASX200,,,,,,200
2019,2,CAC40,,,,,,40
2019,2,DAX40,,,,,,40
2019,2,EuroNext100,,,,,,100
2019,2,FTSE250,,,,,,250
2019,2,HANGSENG,3,4.0,2,2.7,2.5,75
2019,2,Nikkei225,26,11.6,,,,225
2019,2,NSENifty50,,,,,,50
2019,2,SPTSX Composite,7,3.1,6,2.7,4.7,226
2019,2,STI,,,,,,29
2019,2,SMI,,,,,,20
2019,3,Global,41,2.2,34,1.8,6.2,1855
2019,3,SP500,11,2.2,12,2.4,5.5,500
2019,3,FTSE100,,,,,,100
2019,3,ASX200,,,,,,200
2019,3,CAC40,,,,,,40
2019,3,DAX40,,,,,,40
2019,3,EuroNext100,,,,,,100
2019,3,FTSE250,,,,,,250
2019,3,HANGSENG,4,5.3,2,2.7,1.9,75
2019,3,Nikkei225,1,0.4,1,0.4,18.5,225
2019,3,NSENifty50,,,,,,50
2019,3,SPTSX Composite,2,0.9,3,1.3,3.9,226
2019,3,STI,,,,,,29
2019,3,SMI,,,,,,20
2019,4,Global,38,2.1,44,2.4,6.9,1855
2019,4,SP500,16,3.2,17,3.4,9.1,500
2019,4,FTSE100,,,,,,100
2019,4,ASX200,,,,,,200
2019,4,CAC40,,,,,,40
2019,4,DAX40,,,,,,40
2019,4,EuroNext100,,,,,,100
2019,4,FTSE250,,,,,,250
2019,4,HANGSENG,1,1.3,1,1.3,9.2,75
2019,4,Nikkei225,2,0.9,,,,225
2019,4,NSENifty50,,,,,,50
2019,4,SPTSX Composite,3,1.3,6,2.7,8.9,226
2019,4,STI,,,,,,29
2019,4,SMI,,,,,,20
2020,1,Global,59,3.2,66,3.6,8.5,1855
2020,1,SP500,20,4.0,19,3.8,10.9,500
2020,1,FTSE100,,,,,,100
2020,1,ASX200,,,,,,200
2020,1,CAC40,,,,,,40
2020,1,DAX40,,,,,,40
2020,1,EuroNext100,,,,,,100
2020,1,FTSE250,,,,,,250
2020,1,HANGSENG,3,4.0,3,4.0,2.1,75
2020,1,Nikkei225,2,0.9,4,1.8,9.5,225
2020,1,NSENifty50,,,,,,50
2020,1,SPTSX Composite,13,5.8,14,6.2,8.9,226
2020,1,STI,,,,,,29
2020,1,SMI,,,,,,20
2020,2,Global,63,3.4,52,2.8,7.7,1855
2020,2,SP500,23,4.6,17,3.4,8.3,500
2020,2,FTSE100,,,,,,100
2020,2,ASX200,,,,,,200
2020,2,CAC40,,,,,,40
2020,2,DAX40,,,,,,40
2020,2,EuroNext100,,,,,,100
2020,2,FTSE250,,,,,,250
2020,2,HANGSENG,2,2.7,2,2.7,2.7,75
2020,2,Nikkei225,16,7.1,2,0.9,3.2,225
2020,2,NSENifty50,,,,,,50
