year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2019,1,Global,incoming,gender,Men,49,92.5
2019,1,Global,incoming,gender,Women,4,7.5
2019,1,Global,incoming,appointment,Internal,40,75.5
2019,1,Global,incoming,appointment,External,13,24.5
2019,1,Global,incoming,first_timer,Yes,45,84.9
2019,1,Global,incoming,first_timer,No,8,15.1
2019,1,Global,outgoing,gender,Men,39,95.1
2019,1,Global,outgoing,gender,Women,2,4.9
2019,1,Global,outgoing,appointment,Internal,32,78.0
2019,1,Global,outgoing,appointment,External,9,22.0
2019,1,Global,outgoing,first_timer,Yes,34,82.9
2019,1,Global,outgoing,first_timer,No,7,17.1
2019,1,SP500,incoming,gender,Men,21,87.5
2019,1,SP500,incoming,gender,Women,3,12.5
2019,1,SP500,incoming,appointment,Internal,21,87.5
2019,1,SP500,incoming,appointment,External,3,12.5
2019,1,SP500,incoming,first_timer,Yes,,
2019,1,SP500,incoming,first_timer,No,,
2019,1,SP500,outgoing,gender,Men,12,92.3
2019,1,SP500,outgoing,gender,Women,1,7.7
2019,1,SP500,outgoing,appointment,Internal,10,76.9
2019,1,SP500,outgoing,appointment,External,3,23.1
2019,1,SP500,outgoing,first_timer,Yes,,
2019,1,SP500,outgoing,first_timer,No,,
2019,1,FTSE100,incoming,gender,Men,,
2019,1,FTSE100,incoming,gender,Women,,
2019,1,FTSE100,incoming,appointment,Internal,,
2019,1,FTSE100,incoming,appointment,External,,
2019,1,FTSE100,incoming,first_timer,Yes,,
2019,1,FTSE100,incoming,first_timer,No,,
2019,1,FTSE100,outgoing,gender,Men,,
2019,1,FTSE100,outgoing,gender,Women,,
2019,1,FTSE100,outgoing,appointment,Internal,,
2019,1,FTSE100,outgoing,appointment,External,,
2019,1,FTSE100,outgoing,first_timer,Yes,,
2019,1,FTSE100,outgoing,first_timer,No,,
2019,1,ASX200,incoming,gender,Men,,
2019,1,ASX200,incoming,gender,Women,,
2019,1,ASX200,incoming,appointment,Internal,,
2019,1,ASX200,incoming,appointment,External,,
2019,1,ASX200,incoming,first_timer,Yes,,
2019,1,ASX200,incoming,first_timer,No,,
2019,1,ASX200,outgoing,gender,Men,,
2019,1,ASX200,outgoing,gender,Women,,
2019,1,ASX200,outgoing,appointment,Internal,,
2019,1,ASX200,outgoing,appointment,External,,
2019,1,ASX200,outgoing,first_timer,Yes,,
2019,1,ASX200,outgoing,first_timer,No,,
2019,1,CAC40,incoming,gender,Men,,
2019,1,CAC40,incoming,gender,Women,,
2019,1,CAC40,incoming,appointment,Internal,,
2019,1,CAC40,incoming,appointment,External,,
2019,1,CAC40,incoming,first_timer,Yes,,
2019,1,CAC40,incoming,first_timer,No,,
2019,1,CAC40,outgoing,gender,Men,,
2019,1,CAC40,outgoing,gender,Women,,
2019,1,CAC40,outgoing,appointment,Internal,,
2019,1,CAC40,outgoing,appointment,External,,
2019,1,CAC40,outgoing,first_timer,Yes,,
2019,1,CAC40,outgoing,first_timer,No,,
2019,1,DAX40,incoming,gender,Men,,
2019,1,DAX40,incoming,gender,Women,,
2019,1,DAX40,incoming,appointment,Internal,,
2019,1,DAX40,incoming,appointment,External,,
2019,1,DAX40,incoming,first_timer,Yes,,
2019,1,DAX40,incoming,first_timer,No,,
2019,1,DAX40,outgoing,gender,Men,,
2019,1,DAX40,outgoing,gender,Women,,
2019,1,DAX40,outgoing,appointment,Internal,,
2019,1,DAX40,outgoing,appointment,External,,
2019,1,DAX40,outgoing,first_timer,Yes,,
2019,1,DAX40,outgoing,first_timer,No,,
2019,1,EuroNext100,incoming,gender,Men,,
2019,1,EuroNext100,incoming,gender,Women,,
2019,1,EuroNext100,incoming,appointment,Internal,,
2019,1,EuroNext100,incoming,appointment,External,,
2019,1,EuroNext100,incoming,first_timer,Yes,,
2019,1,EuroNext100,incoming,first_timer,No,,
2019,1,EuroNext100,outgoing,gender,Men,,
2019,1,EuroNext100,outgoing,gender,Women,,
2019,1,EuroNext100,outgoing,appointment,Internal,,
2019,1,EuroNext100,outgoing,appointment,External,,
2019,1,EuroNext100,outgoing,first_timer,Yes,,
2019,1,EuroNext100,outgoing,first_timer,No,,
2019,1,FTSE250,incoming,gender,Men,,
2019,1,FTSE250,incoming,gender,Women,,
2019,1,FTSE250,incoming,appointment,Internal,,
2019,1,FTSE250,incoming,appointment,External,,
2019,1,FTSE250,incoming,first_timer,Yes,,
2019,1,FTSE250,incoming,first_timer,No,,
2019,1,FTSE250,outgoing,gender,Men,,
2019,1,FTSE250,outgoing,gender,Women,,
2019,1,FTSE250,outgoing,appointment,Internal,,
2019,1,FTSE250,outgoing,appointment,External,,
2019,1,FTSE250,outgoing,first_timer,Yes,,
2019,1,FTSE250,outgoing,first_timer,No,,
2019,1,HANGSENG,incoming,gender,Men,,
2019,1,HANGSENG,incoming,gender,Women,,
2019,1,HANGSENG,incoming,appointment,Internal,,
2019,1,HANGSENG,incoming,appointment,External,,
2019,1,HANGSENG,incoming,first_timer,Yes,,
2019,1,HANGSENG,incoming,first_timer,No,,
2019,1,HANGSENG,outgoing,gender,Men,1,100.0
2019,1,HANGSENG,outgoing,gender,Women,0,0.0
2019,1,HANGSENG,outgoing,appointment,Internal,1,100.0
2019,1,HANGSENG,outgoing,appointment,External,0,0.0
2019,1,HANGSENG,outgoing,first_timer,Yes,,
2019,1,HANGSENG,outgoing,first_timer,No,,
2019,1,Nikkei225,incoming,gender,Men,2,100.0
2019,1,Nikkei225,incoming,gender,Women,0,0.0
2019,1,Nikkei225,incoming,appointment,Internal,2,100.0
2019,1,Nikkei225,incoming,appointment,External,0,0.0
2019,1,Nikkei225,incoming,first_timer,Yes,,
2019,1,Nikkei225,incoming,first_timer,No,,
2019,1,Nikkei225,outgoing,gender,Men,,
2019,1,Nikkei225,outgoing,gender,Women,,
2019,1,Nikkei225,outgoing,appointment,Internal,,
2019,1,Nikkei225,outgoing,appointment,External,,
2019,1,Nikkei225,outgoing,first_timer,Yes,,
2019,1,Nikkei225,outgoing,first_timer,No,,
2019,1,NSENifty50,incoming,gender,Men,,
2019,1,NSENifty50,incoming,gender,Women,,
