year,quarter,segment,flow,split_type,split_value,count_value,pct_value
2019,1,Global,incoming,gender,Men,49,92.5
2019,1,Global,incoming,gender,Women,4,7.5
2019,1,Global,incoming,appointment,Internal,40,75.5
2019,1,Global,incoming,appointment,External,13,24.5
2019,1,Global,incoming,first_timer,Yes,45,84.9
2019,1,Global,incoming,first_timer,No,8,15.1
2019,1,Global,outgoing,gender,Men,39,95.1
2019,1,Global,outgoing,gender,Women,2,4.9
2019,1,Global,outgoing,appointment,Internal,32,78.0
2019,1,Global,outgoing,appointment,External,9,22.0
2019,1,Global,outgoing,first_timer,Yes,34,82.9
2019,1,Global,outgoing,first_timer,No,7,17.1
2019,1,Consumer,incoming,gender,Men,14,100.0
2019,1,Consumer,incoming,gender,Women,0,0.0
2019,1,Consumer,incoming,appointment,Internal,12,85.7
2019,1,Consumer,incoming,appointment,External,2,14.3
2019,1,Consumer,incoming,first_timer,Yes,,
2019,1,Consumer,incoming,first_timer,No,,
2019,1,Consumer,outgoing,gender,Men,9,90.0
2019,1,Consumer,outgoing,gender,Women,1,10.0
2019,1,Consumer,outgoing,appointment,Internal,8,80.0
2019,1,Consumer,outgoing,appointment,External,2,20.0
2019,1,Consumer,outgoing,first_timer,Yes,,
2019,1,Consumer,outgoing,first_timer,No,,
2019,1,Financial Services,incoming,gender,Men,12,100.0
2019,1,Financial Services,incoming,gender,Women,0,0.0
2019,1,Financial Services,incoming,appointment,Internal,9,75.0
2019,1,Financial Services,incoming,appointment,External,3,25.0
2019,1,Financial Services,incoming,first_timer,Yes,,
2019,1,Financial Services,incoming,first_timer,No,,
2019,1,Financial Services,outgoing,gender,Men,10,100.0
2019,1,Financial Services,outgoing,gender,Women,0,0.0
2019,1,Financial Services,outgoing,appointment,Internal,9,90.0
2019,1,Financial Services,outgoing,appointment,External,1,10.0
2019,1,Financial Services,outgoing,first_timer,Yes,,
2019,1,Financial Services,outgoing,first_timer,No,,
2019,1,Healthcare,incoming,gender,Men,4,80.0
2019,1,Healthcare,incoming,gender,Women,1,20.0
2019,1,Healthcare,incoming,appointment,Internal,4,80.0
2019,1,Healthcare,incoming,appointment,External,1,20.0
2019,1,Healthcare,incoming,first_timer,Yes,,
2019,1,Healthcare,incoming,first_timer,No,,
2019,1,Healthcare,outgoing,gender,Men,3,100.0
2019,1,Healthcare,outgoing,gender,Women,0,0.0
2019,1,Healthcare,outgoing,appointment,Internal,3,100.0
2019,1,Healthcare,outgoing,appointment,External,0,0.0
2019,1,Healthcare,outgoing,first_timer,Yes,,
2019,1,Healthcare,outgoing,first_timer,No,,
2019,1,Industrial,incoming,gender,Men,,
2019,1,Industrial,incoming,gender,Women,,
2019,1,Industrial,incoming,appointment,Internal,,
2019,1,Industrial,incoming,appointment,External,,
2019,1,Industrial,incoming,first_timer,Yes,,
2019,1,Industrial,incoming,first_timer,No,,
2019,1,Industrial,outgoing,gender,Men,,
2019,1,Industrial,outgoing,gender,Women,,
2019,1,Industrial,outgoing,appointment,Internal,,
2019,1,Industrial,outgoing,appointment,External,,
2019,1,Industrial,outgoing,first_timer,Yes,,
2019,1,Industrial,outgoing,first_timer,No,,
2019,1,Technology,incoming,gender,Men,6,85.7
2019,1,Technology,incoming,gender,Women,1,14.3
2019,1,Technology,incoming,appointment,Internal,4,57.1
2019,1,Technology,incoming,appointment,External,3,42.9
2019,1,Technology,incoming,first_timer,Yes,,
2019,1,Technology,incoming,first_timer,No,,
2019,1,Technology,outgoing,gender,Men,2,100.0
2019,1,Technology,outgoing,gender,Women,0,0.0
2019,1,Technology,outgoing,appointment,Internal,1,50.0
2019,1,Technology,outgoing,appointment,External,1,50.0
2019,1,Technology,outgoing,first_timer,Yes,,
2019,1,Technology,outgoing,first_timer,No,,
2019,2,Global,incoming,gender,Men,74,91.4
2019,2,Global,incoming,gender,Women,7,8.6
2019,2,Global,incoming,appointment,Internal,67,82.7
2019,2,Global,incoming,appointment,External,14,17.3
2019,2,Global,incoming,first_timer,Yes,72,88.9
2019,2,Global,incoming,first_timer,No,9,11.1
2019,2,Global,outgoing,gender,Men,62,98.4
2019,2,Global,outgoing,gender,Women,1,1.6
2019,2,Global,outgoing,appointment,Internal,53,84.1
2019,2,Global,outgoing,appointment,External,10,15.9
2019,2,Global,outgoing,first_timer,Yes,52,82.5
2019,2,Global,outgoing,first_timer,No,11,17.5
2019,2,Consumer,incoming,gender,Men,10,83.3
2019,2,Consumer,incoming,gender,Women,2,16.7
2019,2,Consumer,incoming,appointment,Internal,8,66.7
2019,2,Consumer,incoming,appointment,External,4,33.3
2019,2,Consumer,incoming,first_timer,Yes,,
2019,2,Consumer,incoming,first_timer,No,,
2019,2,Consumer,outgoing,gender,Men,6,85.7
2019,2,Consumer,outgoing,gender,Women,1,14.3
2019,2,Consumer,outgoing,appointment,Internal,3,42.9
2019,2,Consumer,outgoing,appointment,External,4,57.1
2019,2,Consumer,outgoing,first_timer,Yes,,
2019,2,Consumer,outgoing,first_timer,No,,
2019,2,Financial Services,incoming,gender,Men,14,93.3
2019,2,Financial Services,incoming,gender,Women,1,6.7
2019,2,Financial Services,incoming,appointment,Internal,13,86.7
2019,2,Financial Services,incoming,appointment,External,2,13.3
2019,2,Financial Services,incoming,first_timer,Yes,,
2019,2,Financial Services,incoming,first_timer,No,,
2019,2,Financial Services,outgoing,gender,Men,15,100.0
2019,2,Financial Services,outgoing,gender,Women,0,0.0
2019,2,Financial Services,outgoing,appointment,Internal,11,73.3
2019,2,Financial Services,outgoing,appointment,External,4,26.7
2019,2,Financial Services,outgoing,first_timer,Yes,,
2019,2,Financial Services,outgoing,first_timer,No,,
2019,2,Healthcare,incoming,gender,Men,4,80.0
2019,2,Healthcare,incoming,gender,Women,1,20.0
2019,2,Healthcare,incoming,appointment,Internal,4,80.0
2019,2,Healthcare,incoming,appointment,External,1,20.0
2019,2,Healthcare,incoming,first_timer,Yes,,
2019,2,Healthcare,incoming,first_timer,No,,
2019,2,Healthcare,outgoing,gender,Men,3,100.0
2019,2,Healthcare,outgoing,gender,Women,0,0.0
