index,country,person_name,unique_id,individual_id,company_id,gender,company_name,dual_listed,ticker,role_name,role_start_date,role_end_date,tenure_days,tenure_year,start_year,start_month,start_quarter,start_half,sector_bx,industry,appointment,revenue,market_cap,half_year,count
S&P 500,USA,Brian T Crutcher,1.08917E+11,1089168,30509,Male,TEXAS INSTRUMENTS INC,No,TXN,President/CEO,01/06/2018,00:00.0,46,0.126027397,2018,6,2,H1,Electronic & Electrical Equipment,Industrial & Natural Resources,Internal,20028000000,1.58685E+11,2018 H1,1
FTSE 250,UK,Richard John Ingram,11179589331,1117958,9331,Male,DIPLOMA PLC,No,DPLM,CEO,08/05/2018,00:00.0,112,0.306849315,2018,5,2,H1,Diversified Industrials,Industrial & Natural Resources,External,1130558256,4917307287,2018 H1,1
FTSE 250,UK,Kakhaber (Kaha) Kiknavelidze,1.2067E+13,1206701,1823913,Male,BANK OF GEORGIA GROUP PLC (BGEO Group PLC prior to 05/2018),No,BGEO,CEO,21/05/2018,00:00.0,252,0.690410959,2018,5,2,H1,Banks,Financial Services,Internal,1079201983,1549944452,2018 H1,1
S&P 500,USA,Doctor Charles (Chip) P Blankenship Jr,8371841319,837184,1319,Male,HOWMET AEROSPACE INC (Arconic Inc prior to 04/2020),No,HWM,CEO,15/01/2018,00:00.0,387,1.060273973,2018,1,1,H1,Diversified Industrials,Industrial & Natural Resources,External,5663000000,20230596065,2018 H1,1
HANG SENG,Hong Kong,Yong Tang,1.13391E+11,1133906,71391,Male,CHINA RESOURCES LAND LTD (CR LAND),No,1109,CEO,04/12/2018,00:00.0,70,0.191780822,2018,12,4,H2,Real Estate,Financial Services,Internal,33379571679,29378137234,2018 H2,1
ASX 200,Australia,Heath Albert Hellewell,1.20636E+13,1206361,1543098,Male,CAPRICORN METALS LTD (Malagasy Minerals Ltd prior to 02/2016),No,CMM,MD/Chief Executive,08/11/2018,00:00.0,103,0.282191781,2018,11,4,H2,Mining,Industrial & Natural Resources,Internal,197957379,1057181267,2018 H2,1
FTSE 250,UK,Patrick Joseph Bergin,1.19621E+13,1196211,1932134,Male,CREST NICHOLSON HOLDINGS PLC,No,CRST,CEO,22/03/2018,00:00.0,369,1.010958904,2018,3,1,H1,Construction & Building Materials,Industrial & Natural Resources,Internal,1047972288,586155307,2018 H1,1
ASX 200,Australia,James Hooke,3.45789E+12,345789,1622154,Male,ATLAS ARTERIA LTD (Macquarie Atlas Roads Ltd prior to 05/2018),No,ALX,CEO,01/02/2018,00:00.0,424,1.161643836,2018,2,1,H1,Transport,Industrial & Natural Resources,External,95700203,6069085052,2018 H1,1
S&P/TSX Composite,Canada,Stephen (Steve) E Johnson,1.20245E+13,1202445,1984815,Male,CHOICE PROPERTIES REAL ESTATE INVESTMENT TRUST,No,CHP.UN,President/CEO,04/05/2018,00:00.0,362,0.991780822,2018,5,2,H1,Real Estate,Financial Services,Internal,933479730,3273559886,2018 H1,1
HANG SENG,Hong Kong,Zhenguo Wang,1.14635E+13,1146351,1651554,Male,CSPC PHARMACEUTICAL GROUP LTD (China Pharmaceutical Group Ltd prior to 03/2013),No,1093,Vice Chairman/Rotating CEO,25/05/2018,00:00.0,361,0.989041096,2018,5,2,H1,Pharmaceuticals and Biotechnology,Healthcare,Internal,4484885332,10142597167,2018 H1,1
S&P 500,USA,Robert (Rob) J McNally,1.08397E+11,1083966,10909,Male,EQT CORP (Equitable Resources Inc prior to 02/2009),No,EQT,President/CEO,12/11/2018,00:00.0,240,0.657534247,2018,11,4,H2,Utilities - Other,Industrial & Natural Resources,Internal,7497689000,14207132133,2018 H2,1
FTSE 100,UK,John Michael Flint,1.28251E+11,1282510,15160,Male,HSBC HOLDINGS PLC,Yes,HSBA,Group Chief Executive,21/02/2018,00:00.0,530,1.452054795,2018,2,1,H1,Banks,Financial Services,Internal,61596000000,1.54033E+11,2018 H1,1
HANG SENG,Hong Kong,John Michael Flint,1.28251E+11,1282510,15160,Male,HSBC HOLDINGS PLC,Yes,HSBA,Group Chief Executive,21/02/2018,00:00.0,530,1.452054795,2018,2,1,H1,Banks,Financial Services,Internal,61596000000,1.54033E+11,2018 H1,1
EURONEXT 100,Europe,Maximo Ibarra,1.20119E+11,1201188,18088,Male,KPN (KONINKLIJKE) NV,No,KPN,Chairman/CEO,18/04/2018,00:00.0,530,1.452054795,2018,4,2,H1,Telecommunication Services,Technology,External,5754289697,14357757668,2018 H1,1
CAC 40,France,Thierry Yves Bollore,1.25357E+11,1253572,26049,Male,RENAULT SA (REGIE NATIONALE DES USINES),Yes,RNO,CEO,24/01/2019,00:00.0,260,0.712328767,2019,1,1,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,49673846919,12112427393,2019 H1,1
EURONEXT 100,Europe,Thierry Yves Bollore,1.25357E+11,1253572,26049,Male,RENAULT SA (REGIE NATIONALE DES USINES),Yes,RNO,CEO,24/01/2019,00:00.0,260,0.712328767,2019,1,1,H1,Automobiles & Parts,Industrial & Natural Resources,Internal,49673846919,12112427393,2019 H1,1
FTSE 100,UK,Namal Sasrika Nawana,1.28452E+11,1284518,28295,Male,SMITH & NEPHEW PLC,No,SN.,CEO,07/05/2018,00:00.0,542,1.484931507,2018,5,2,H1,Health,Healthcare,External,5215000000,12966867285,2018 H1,1
ASX 200,Australia,Carla Jayne Hrdlicka,1.08632E+13,1086320,1894903,Female,THE A2 MILK COMPANY LTD (A2 Corporation Ltd prior to 04/2014),No,ATM,CEO/MD,16/07/2018,00:00.0,511,1.4,2018,7,3,H2,Beverages,Consumer,External,900470601,2433675751,2018 H2,1
S&P 500,USA,Thomas (Tom) L Bené,88670629837,886706,29837,Male,SYSCO CORP,No,SYY,President/CEO,01/01/2018,00:00.0,760,2.082191781,2018,1,1,H1,Food Producers & Processors,Consumer,Internal,68636146000,37588227760,2018 H1,1
HANG SENG,Hong Kong,Yuan Siong Lee,1.09314E+12,1093142,643294,Male,PING AN INSURANCE (GROUP) CO OF CHINA LTD,No,"2318, 601318",Executive VP/Chief Insurance Business Officer/Co-CEO,14/12/2018,00:00.0,414,1.134246575,2018,12,4,H2,Insurance,Financial Services,External,1.77058E+11,1.17325E+11,2018 H2,1
ASX 200,Australia,Scott Sullivan,1.94233E+12,1942333,930838,Male,PALADIN ENERGY LTD (Paladin Resources Ltd prior to 11/2007),No,PDN,CEO,01/07/2018,00:00.0,583,1.597260274,2018,7,3,H2,Mining,Industrial & Natural Resources,External,4700000,1476128585,2018 H2,1
S&P 500,USA,Christopher Marc Doyle,1.38108E+13,1381078,2696655,Male,DUPONT DE NEMOURS INC (Dowdupont Inc prior to 06/2019),No,DD,CEO,01/06/2019,00:00.0,261,0.715068493,2019,6,2,H1,Chemicals,Industrial & Natural Resources,Internal,13017000000,31931501744,2019 H1,1
S&P/TSX Composite,Canada,David Cheney,2.00797E+13,2007971,2723443,Male,STELCO HOLDINGS INC,No,STLC,CEO,20/02/2019,00:00.0,366,1.002739726,2019,2,1,H1,Steel & Other Metals,Industrial & Natural Resources,Internal,3261244083,1746608489,2019 H1,1
S&P 500,USA,Keith G Block,3356969444,33569,69444,Male,SALESFORCE INC (Salesforce.com Inc prior to 04/2022),No,CRM,Co-CEO,07/08/2018,00:00.0,567,1.553424658,2018,8,3,H2,Software & Computer Services,Technology,Internal,31352000000,2.04681E+11,2018 H2,1
