index,country,person_name,unique_id,individual_id,company_id,gender,company_name,dual_listed,ticker,role_name,role_start_date,role_end_date,tenure_days,tenure_year,end_year,end_month,end_quarter,end_half,sector_bx,industry,appointment,revenue,market_cap,half_year,count
ASX 200,Australia,Jeanne Marie Johns,6.05192E+11,605191,603644,Female,INCITEC PIVOT LIMITED,No,IPL,CEO/MD,15/11/2017,06/06/2023,2029,5.55890411,2023,6,2,H1,Chemicals,Industrial & Natural Resources,External,4042236683,3632489477,2023 H1,1
ASX 200,Australia,Garold (Gerry) Ralph Spindler,1.59383E+11,15938,2935940,Male,CORONADO GLOBAL RESOURCES INC,No,CRN,CEO/MD,23/10/2018,25/05/2023,1675,4.589041096,2023,5,2,H1,Mining,Industrial & Natural Resources,External,3571542000,1694929885,2023 H1,1
ASX 200,Australia,Steven (Steve) Anthony Cain,2.35023E+11,23502,2950743,Male,COLES GROUP LTD,No,COL,CEO/MD,21/11/2018,30/04/2023,1621,4.44109589,2023,4,2,H1,Food & Drug Retailers,Consumer,External,27599627437,16321859096,2023 H1,1
ASX 200,Australia,Thomas Beregi,6.41957E+12,641957,1093465,Male,CREDIT CORP GROUP LTD,No,CCP,CEO,01/10/2008,21/03/2023,5284,14.47671233,2023,3,1,H1,Speciality & Other Finance,Financial Services,Internal,283581465,753781914,2023 H1,1
ASX 200,Australia,Raj Naran,1.05958E+12,1059578,743830,Male,ALS LTD (Campbell Brothers Ltd prior to 08/2012),No,ALQ,CEO/MD,20/07/2017,07/03/2023,2056,5.632876712,2023,3,1,H1,Diversified Industrials,Industrial & Natural Resources,Internal,1580437568,3945370666,2023 H1,1
ASX 200,Australia,Vincent English,1.68275E+13,1682745,2378275,Male,MEGAPORT LTD,No,MP1,CEO,01/04/2017,07/03/2023,2166,5.934246575,2023,3,1,H1,Software & Computer Services,Technology,Internal,75675286,439531378,2023 H1,1
ASX 200,Australia,Paul R Perreault,10566538371,1056653,8371,Male,CSL LTD (Commonwealth Serum Laboratories Ltd prior to 10/1991),No,"CSL, CSLDA",CEO/MD,01/07/2013,05/03/2023,3534,9.682191781,2023,3,1,H1,Pharmaceuticals and Biotechnology,Healthcare,Internal,10561900000,92385574789,2023 H1,1
ASX 200,Australia,Doctor Malcolm W Parmenter,5.52915E+12,552915,1012167,Male,HEALIUS LTD (Primary Health Care Ltd prior to 12/2018),No,HLS,CEO/MD,06/09/2017,01/03/2023,2002,5.484931507,2023,3,1,H1,Health,Healthcare,External,1611145473,1194153445,2023 H1,1
ASX 200,Australia,Susan J Lloyd-Hurwitz,1.25977E+12,1259768,638020,Female,MIRVAC GROUP LTD,No,MGR,CEO/MD,01/08/2012,01/03/2023,3864,10.58630137,2023,3,1,H1,Real Estate,Financial Services,External,1959967226,5771115567,2023 H1,1
ASX 200,Australia,Grant Anthony Fenn,4.422E+11,442199,741820,Male,DOWNER EDI LTD,No,DOW,CEO/MD,30/07/2010,27/02/2023,4595,12.5890411,2023,2,1,H1,Diversified Industrials,Industrial & Natural Resources,Internal,7692629988,1525270366,2023 H1,1
